Account.Balance,Duration.of.Credit.Month,Payment.Status.of.Previous.Credit,Purpose,Credit.Amount,Value.Savings.Stocks,Length.of.current.employment,Instalment.per.cent,Guarantors,Duration.in.Current.address,Most.valuable.available.asset,Age.years,Concurrent.Credits,Type.of.apartment,No.of.Credits.at.this.Bank,Occupation,No.of.dependents,Telephone,Foreign.Worker,Credit_Application_Result
Some Balance,10,Paid Up,New car,2848,< £100,< 1yr,1,Yes,2,1,32,Other Banks/Depts,2,1,1,2,1,1,0.972195448742238
Some Balance,15,Paid Up,Used car,2186,£100-£1000,1-4 yrs,1,None,4,1,33,Other Banks/Depts,1,1,1,1,1,1,0.955475322782581
Some Balance,12,Paid Up,New car,1413,£100-£1000,1-4 yrs,3,None,2,2,55,Other Banks/Depts,2,1,1,1,1,2,0.954267535877584
Some Balance,21,Paid Up,New car,2476,£100-£1000,4-7 yrs,4,None,4,1,46,Other Banks/Depts,2,1,1,1,2,1,0.953170480830424
Some Balance,15,No Problems (in this bank),New car,2360,£100-£1000,< 1yr,2,None,2,3,36,Other Banks/Depts,2,1,1,1,2,1,0.953148927650706
Some Balance,12,No Problems (in this bank),Used car,1592,£100-£1000,1-4 yrs,3,None,2,2,35,Other Banks/Depts,2,1,1,1,1,1,0.948078432299728
Some Balance,18,No Problems (in this bank),New car,3229,£100-£1000,< 1yr,2,None,4,4,38,Other Banks/Depts,2,1,1,1,2,1,0.947626182682809
Some Balance,6,No Problems (in this bank),Home Related,250,£100-£1000,< 1yr,2,None,2,1,41,Other Banks/Depts,2,More than 1,1,1,1,1,0.94756565051544
Some Balance,5,Paid Up,Home Related,3448,None,1-4 yrs,1,None,4,1,74,Other Banks/Depts,2,1,1,1,1,1,0.947300713655
Some Balance,18,Paid Up,New car,3378,£100-£1000,< 1yr,2,None,1,2,31,Other Banks/Depts,2,1,1,1,2,1,0.945440825233147
Some Balance,9,No Problems (in this bank),Home Related,3074,£100-£1000,< 1yr,1,None,2,1,33,Other Banks/Depts,2,More than 1,1,2,1,1,0.944742102611984
Some Balance,4,Paid Up,Used car,601,None,< 1yr,1,None,3,1,23,Other Banks/Depts,1,1,1,2,1,1,0.944345472579752
Some Balance,21,No Problems (in this bank),New car,2993,None,< 1yr,3,None,2,1,28,Other Banks/Depts,2,More than 1,1,1,1,1,0.944086560044093
Some Balance,24,Paid Up,New car,3488,< £100,1-4 yrs,3,None,4,3,23,Other Banks/Depts,2,1,1,1,1,1,0.942744474364183
Some Balance,6,No Problems (in this bank),Home Related,1743,< £100,< 1yr,1,None,2,1,34,Other Banks/Depts,2,More than 1,1,1,1,1,0.942722764981384
Some Balance,21,No Problems (in this bank),Used car,1591,< £100,1-4 yrs,4,None,3,1,34,Other Banks/Depts,2,More than 1,1,1,1,1,0.942065493926922
Some Balance,9,Paid Up,Home Related,1126,< £100,4-7 yrs,2,None,4,1,49,Other Banks/Depts,2,1,1,1,1,1,0.942005869109412
Some Balance,9,Paid Up,Home Related,3832,£100-£1000,4-7 yrs,1,None,4,1,64,Other Banks/Depts,2,1,1,1,1,1,0.941210860178455
Some Balance,12,Paid Up,New car,2445,£100-£1000,< 1yr,2,None,4,3,26,Other Banks/Depts,1,1,1,1,2,1,0.94054841496931
Some Balance,4,No Problems (in this bank),Home Related,1503,None,1-4 yrs,2,None,1,1,42,Other Banks/Depts,2,More than 1,1,2,1,1,0.938406211513141
Some Balance,4,No Problems (in this bank),Home Related,1455,None,1-4 yrs,2,None,1,1,42,Other Banks/Depts,2,More than 1,1,2,1,1,0.938081813592336
Some Balance,12,Paid Up,Home Related,3059,£100-£1000,1-4 yrs,2,None,4,1,61,Other Banks/Depts,2,1,1,1,1,1,0.935840418045565
Some Balance,15,No Problems (in this bank),New car,3368,£100-£1000,4-7 yrs,3,None,4,4,23,Other Banks/Depts,1,More than 1,1,1,2,1,0.934245122471181
Some Balance,24,No Problems (in this bank),Used car,3777,£100-£1000,< 1yr,4,None,4,1,40,Other Banks/Depts,2,1,1,1,2,1,0.933917903757536
Some Balance,24,Paid Up,New car,2603,£100-£1000,< 1yr,2,None,4,3,28,Other Banks/Depts,1,1,1,1,2,1,0.933701730978725
Some Balance,9,Paid Up,Used car,2301,< £100,< 1yr,2,None,4,2,22,Other Banks/Depts,1,1,1,1,1,1,0.933005646574566
Some Balance,9,Paid Up,Home Related,2753,< £100,4-7 yrs,3,Yes,4,3,35,Other Banks/Depts,2,1,1,1,2,1,0.932953241511163
Some Balance,12,No Problems (in this bank),Home Related,2331,£100-£1000,4-7 yrs,1,Yes,4,1,49,Other Banks/Depts,2,1,1,1,2,1,0.931271891708948
